direction,session_id,quality,start_15,start_16,start_17,start_18,start_19,start_20,start_21,end_15,end_16,end_17,end_18,end_19,end_20,end_21
forward,20260716_104941,0.83,0.134727,0.108074,0.035665,1.376760,0.035306,-0.232937,-0.047805,-0.935608,-0.015280,0.131874,0.936471,0.019546,0.003427,0.345637
right,20260716_104941,0.60,-0.826169,-0.019882,0.072780,0.934062,0.018204,-0.134343,0.247774,-0.410448,0.106600,-0.671308,0.027588,-0.126470,0.021104,-0.211845
up,20260716_104941,0.98,-0.255767,0.057165,-0.652397,0.114689,-0.059082,0.009707,-0.073032,-2.421796,0.465743,0.249512,0.856405,-0.058375,0.313759,0.034347
forward,20260716_104941,0.90,-0.193509,0.037079,0.246432,0.824934,-0.058819,-0.456875,-0.059346,-0.758913,0.196601,0.307935,0.995434,0.058399,-0.255624,0.149108
down,20260716_104941,1.00,-0.646932,0.158959,0.307503,0.992090,0.137567,-0.306772,0.137687,0.195750,0.060365,0.309828,1.289167,0.136261,-0.275421,0.139209
back,20260716_104941,0.96,0.203276,0.060305,0.309457,1.290150,0.136608,-0.272222,0.139197,0.703654,0.215608,0.003667,-0.899836,-0.372649,0.070096,-0.035413
left,20260716_104941,0.99,0.704684,0.217993,-0.101063,-0.543688,-0.134343,-0.085352,-0.035593,-0.070216,0.822765,1.098798,0.878132,-0.148089,-0.093549,-0.039248
right,20260716_104941,0.95,-0.070120,0.765337,1.097060,0.843713,-0.147382,-0.158072,-0.039200,-0.149815,0.277615,-0.735148,-0.300385,-0.277483,0.099529,-0.209916
forward,20260716_104941,0.86,-0.135482,0.276680,-0.730151,-0.280826,-0.274247,0.222032,-0.209796,-0.848807,0.194840,0.095742,1.126829,0.004949,-0.165778,0.118943
left,20260716_104941,0.88,-0.629148,0.159642,0.092458,0.778915,-0.156897,-0.165778,0.118164,-0.070144,0.649365,1.106336,0.779130,-0.158443,-0.349951,-0.209328
down,20260716_104941,0.94,-0.084920,0.600973,1.103052,0.778351,-0.134020,-0.371319,-0.064775,0.152284,0.028259,0.564972,1.326750,0.488705,-0.281629,0.101950
back,20260716_104941,0.62,-0.027947,0.058663,0.564960,1.327121,0.488561,-0.274774,0.096341,0.723943,0.098379,-0.142001,-0.249116,0.092950,-0.475007,0.049890
up,20260716_104941,0.95,0.663435,0.137303,-0.101818,-0.480484,0.026857,-0.222871,0.050058,-1.896719,0.368815,0.265079,0.268806,0.028762,0.330573,0.065062
back,20260716_104941,0.74,-1.594477,0.343240,0.131119,0.423858,0.028415,-0.013914,0.159810,0.932888,0.167863,-0.103592,-0.753676,0.006376,-0.126925,0.030224
forward,20260716_104941,0.98,0.928682,0.159115,-0.061791,-0.596155,0.005333,-0.439126,0.030859,-0.813250,0.232722,0.132534,1.148424,0.008197,-0.274571,0.205314
right,20260716_104941,0.95,-0.698501,0.204271,0.134271,1.012871,0.005609,-0.193917,0.206896,-0.181118,0.061958,-0.633330,0.101950,0.114665,-0.126338,-0.145393
left,20260716_104941,0.99,-0.179548,0.064751,-0.633342,0.102285,0.118704,-0.126086,-0.147909,-0.076915,0.396774,1.125870,0.508766,0.115983,-0.206177,-0.005884
down,20260716_104941,0.99,-0.069820,0.363625,1.123917,0.501839,0.116019,-0.241087,-0.013566,0.131695,0.105953,0.750189,1.293505,0.775967,-0.428376,-0.014010
up,20260716_104941,0.89,0.111837,0.086478,0.749793,1.288328,0.775260,-0.428975,-0.012979,-2.026401,0.442841,0.365699,0.628788,-0.039919,0.193809,-0.012835
back,20260716_104941,0.89,-2.019198,0.493079,0.210059,0.621130,-0.175940,0.160277,-0.013051,0.788131,0.217334,-0.121340,-0.785542,0.002996,-0.039212,-0.012068
up,20260716_104941,0.96,0.904402,0.216675,-0.117086,-0.813453,0.004530,-0.038445,-0.012080,-2.474814,0.413743,0.369785,0.889409,0.136536,0.138765,-0.012547
left,20260716_104941,0.98,-1.950984,0.313879,0.131958,0.542766,0.138382,0.017090,-0.013267,-0.215225,0.608871,1.275122,0.698045,0.135206,-0.252412,-0.014369
right,20260716_104941,0.91,-0.216998,0.586544,1.272605,0.690291,0.135266,-0.254126,-0.015603,-0.344570,0.257181,-0.848471,-0.368443,-0.539698,0.421965,-0.035833
down,20260716_104941,1.00,-0.298503,0.260237,-0.819158,-0.359850,-0.532435,0.394497,-0.035006,-0.020817,0.214086,-0.358808,1.563210,-0.296478,-0.409932,-0.035162
forward,20260716_104941,0.97,-0.066800,0.214242,-0.358640,1.562635,-0.296586,-0.410424,-0.035018,-0.862289,0.071833,-0.103112,1.019031,-0.177187,-0.194324,0.208777
up,20260716_104941,0.93,-0.824083,0.102357,-0.102944,1.052694,-0.177379,-0.197212,0.236437,-2.377730,0.362367,0.213343,0.698225,0.006436,0.413612,0.237707
right,20260716_104941,0.88,-0.568448,0.028918,0.196769,0.424529,0.007730,-0.180243,0.234004,-0.415265,0.180650,-0.940798,-0.156202,-0.237419,0.120969,-0.059262
left,20260716_104941,0.99,-0.361936,0.207399,-0.924535,-0.115911,-0.234663,0.117601,-0.056206,-0.026713,0.414726,1.037762,0.455029,-0.158156,-0.175857,-0.057105
down,20260716_104941,0.99,-0.029445,0.413216,1.037379,0.453459,-0.158216,-0.175857,-0.056590,0.197464,0.090265,0.741512,1.258128,0.644907,-0.292403,-0.055894
back,20260716_104941,0.73,-0.205086,0.130544,0.742986,1.248696,0.636962,-0.075393,-0.100200,0.830854,0.264072,-0.116259,-0.872679,-0.226466,-0.037463,0.150798
forward,20260716_104941,0.99,0.833407,0.298743,-0.140491,-0.848148,-0.211941,0.050286,0.150294,-0.862409,0.207519,-0.057357,1.162098,-0.039140,-0.193881,0.149299
down,20260716_104941,1.00,-0.677876,0.200532,0.133097,0.856908,-0.016263,-0.117865,0.149587,0.233093,0.204930,0.132593,1.258104,-0.008892,-0.167180,0.148065
